"","sub_num","run_num","file_name","trial_num","rt","response","t_direction","accuracy","target_position_1","target_position_2","target_position_3","target_position_4","target_location_type","target_number","trialTypeValid0Invalid1","trialTypeExtraTarget1NoExtraTarget0","extraTargetShapeNumber","extraTargetShapePosition","extraTargetShapeType"
"676",2,6,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6956124.jpg",27,800,"z","L",1,1148,914,1253.6,1019.6,2,5,0,0,0,0,0
"677",2,6,"Stimuli\scenes\mainScenes\AdobeStock_461935168.jpeg",28,680,"/?","R",1,806,602,911.6,707.6,2,11,1,0,0,0,0
"678",2,6,"Stimuli\scenes\mainScenes\pexels-saviesa-home-2089698.jpg",29,1844,"z","L",1,712,328,817.6,433.6,1,14,0,0,0,0,0
"679",2,6,"Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17181942.jpg",30,1355,"z","L",1,246,670,351.6,775.6,3,11,0,1,4,4,2
"680",2,6,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7060815.jpg",31,1756,"z","L",1,1692,930,1797.6,1035.6,2,4,0,1,14,1,1
"681",2,6,"Stimuli\scenes\mainScenes\AdobeStock_216902237.jpeg",32,910,"z","L",1,338,476,443.6,581.6,3,5,1,1,4,3,1
"682",2,6,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061668.jpg",33,865,"z","L",1,500,758,605.6,863.6,2,14,1,0,0,0,0
"683",2,6,"Stimuli\scenes\mainScenes\pexels-ryan-donnelly-100575.jpg",34,974,"/?","R",1,198,882,303.6,987.6,2,4,0,0,0,0,0
"684",2,6,"Stimuli\scenes\mainScenes\pexels-get-lost-mike-8561916.jpg",35,1823,"/?","R",1,150,720,255.6,825.6,3,11,0,1,4,3,1
"685",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-5900806.jpg",36,1295,"z","L",1,1744,854,1849.6,959.6,2,5,0,1,11,1,1
"686",2,6,"Stimuli\scenes\mainScenes\022_L_filler_absent_lamp.jpg",37,1292,"/?","R",1,676,112,781.6,217.6,1,14,0,0,0,0,0
"687",2,6,"Stimuli\scenes\mainScenes\pexels-skitterphoto-349749.jpg",38,728,"/?","R",1,698,848,803.6,953.6,2,4,0,1,14,4,3
"688",2,6,"Stimuli\scenes\mainScenes\AdobeStock_106076039.jpeg",39,2093,"z","L",1,32,230,137.6,335.6,1,5,1,1,11,1,3
"689",2,6,"Stimuli\scenes\mainScenes\036_L_filler_absent_bowl.jpg",40,1697,"/?","R",1,1396,536,1501.6,641.6,3,11,0,0,0,0,0
"690",2,6,"Stimuli\scenes\mainScenes\pexels-get-lost-mike-10450051.jpg",41,773,"/?","R",1,1048,868,1153.6,973.6,2,4,0,1,11,4,1
"691",2,6,"Stimuli\scenes\mainScenes\pexels-alexander-zvir-4252510.jpg",42,1309,"/?","R",1,396,212,501.6,317.6,1,11,1,1,4,2,2
"692",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-7601172.jpg",43,921,"/?","R",1,1300,276,1405.6,381.6,1,14,0,1,11,1,3
"693",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-3990599.jpg",44,725,"z","L",1,680,516,785.6,621.6,2,5,0,0,0,0,0
"694",2,6,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-8082201.jpg",45,832,"/?","R",1,34,900,139.6,1005.6,2,4,0,0,0,0,0
"695",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-4682110.jpg",46,1799,"z","L",1,1160,688,1265.6,793.6,3,11,0,1,4,4,2
"696",2,6,"Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17158648.jpg",47,870,"/?","R",1,164,826,269.6,931.6,2,5,0,0,0,0,0
"697",2,6,"Stimuli\scenes\mainScenes\pexels-denys-gromov-4716789.jpg",48,979,"z","L",1,316,486,421.6,591.6,3,14,1,0,0,0,0
"698",2,6,"Stimuli\scenes\mainScenes\036_L_filler_absent_bowl.jpg",49,964,"/?","R",1,342,854,447.6,959.6,2,14,1,1,11,2,1
"699",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-7601072.jpg",50,693,"/?","R",1,590,926,695.6,1031.6,2,4,0,0,0,0,0
"700",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-4682110.jpg",51,1082,"z","R",0,532,204,637.6,309.6,1,5,1,0,0,0,0
